procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 27520848 7141084 17873264    0    0    63   780 2680    4  1  1 98  0  0  0
 0  0      0 27527120 7141084 17873120    0    0     0   268 1062 2154  0  1 99  0  0  0
 0  0      0 27613800 7141084 17787116    0    0     0    24 1087 1479  1  0 99  0  0  0
 0  0      0 27636144 7141088 17787132    0    0     0  2312 1619 4755  1  0 99  0  0  0
 1  0      0 27530316 7141088 17852464    0    0     0   288 2039 4804  2  1 97  0  0  0
 0  0      0 27592084 7141088 17786928    0    0     0    12 1969 4240  1  1 98  0  0  0
 3  0      0 27619380 7141088 17786928    0    0     0   340  775 1744  0  0 99  0  0  0
 0  0      0 27622784 7141088 17786928    0    0     0     0  769  729  0  0 100  0  0  0
 1  0      0 27625260 7141088 17786928    0    0     0  1096 1095 2745  1  0 99  0  0  0
 0  0      0 27572220 7141088 17852980    0    0     0  1296 2437 7046  1  1 97  0  0  0
 0  0      0 27646188 7141088 17787444    0    0     0     4 1493 3604  1  1 98  0  0  0
 1  0      0 27644824 7141088 17787444    0    0     0     0  774 1773  0  0 99  0  0  0
 0  0      0 27651712 7141088 17787444    0    0     0     8  738  706  0  0 100  0  0  0
 0  0      0 27652124 7141088 17787444    0    0     0     0  555  615  0  0 100  0  0  0
 0  0      0 27582412 7141088 17852404    0    0     0  2264 2937 8548  1  1 97  0  0  0
 0  0      0 27644552 7141088 17786868    0    0     0     0 1794 4012  1  1 98  0  0  0
 1  0      0 27648548 7141088 17786868    0    0     0     0  718 1733  0  0 99  0  0  0
 0  0      0 27648400 7141088 17786868    0    0     0     0  977 1369  0  0 99  0  0  0
 0  0      0 27645016 7141088 17786764    0    0     0     8  653  815  0  0 100  0  0  0
 0  0      0 27591472 7141088 17852408    0    0     0  3028 3086 8808  1  2 97  0  0  0
 0  0      0 27653568 7141088 17786872    0    0     0     0 1546 3575  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 27644424 7141088 17786784    0    0     0     0  987 2649  1  1 99  0  0  0
 0  0      0 27658200 7141088 17786888    0    0     0   592 1042 1306  0  0 99  0  0  0
 0  0      0 27659288 7141088 17786888    0    0     0     0  513  697  0  0 100  0  0  0
 0  0      0 27587352 7141088 17852432    0    0     0  2520 3069 9032  1  2 97  0  0  0
 0  0      0 27667480 7141088 17786896    0    0     0     0 1609 3669  1  1 98  0  0  0
 1  0      0 27658924 7141088 17786896    0    0     0     0  670 1583  0  0 99  0  0  0
 0  0      0 27667256 7141088 17786792    0    0     0   156  866  976  0  0 100  0  0  0
 0  0      0 27667004 7141088 17786896    0    0     0   112  529  635  0  0 100  0  0  0
 0  0      0 27595160 7141088 17852432    0    0     0  2312 2923 8853  1  2 97  0  0  0
