procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 27329672 7140996 17878880    0    0    63   779 2680    4  1  1 98  0  0  0
 0  0      0 27351300 7140996 17853044    0    0     0     8 1645 3368  1  1 98  0  0  0
 0  0      0 27366292 7140996 17852984    0    0     0  2304 2890 7657  1  1 97  0  0  0
 0  0      0 27434836 7140996 17801536    0    0     0     0 1646 3865  1  1 98  0  0  0
 0  0      0 27404792 7140996 17846592    0    0     0     0 1062 2320  1  1 99  0  0  0
 0  0      0 27459880 7140996 17801536    0    0     0   384  729  918  0  0 99  0  0  0
 1  0      0 27471508 7140996 17801548    0    0     0   984  876 1665  0  0 99  0  0  0
 0  0      0 27449984 7140996 17823968    0    0     0  2416 2500 7268  2  1 97  0  0  0
 0  0      0 27479192 7140996 17778784    0    0     0     0 1809 3798  1  1 98  0  0  0
 0  0      0 27451864 7140996 17823892    0    0     0     0 1178 2387  0  1 99  0  0  0
 0  0      0 27511408 7140996 17778780    0    0     0   820  865 1052  0  0 99  0  0  0
 1  0      0 27511236 7140996 17778760    0    0     0  5264  820 1778  0  0 99  0  0  0
 0  1      0 27492368 7140996 17823688    0    0     0  1808 2336 6423  1  1 97  0  0  0
 0  0      0 27514768 7140996 17778696    0    0     0   688 2424 5901  1  1 98  0  0  0
 0  0      0 27477280 7140996 17823752    0    0     0   192 1282 2482  1  1 99  0  0  0
 0  0      0 27527808 7140996 17778632    0    0     0   408  667  855  0  0 100  0  0  0
 4  0      0 27523132 7140996 17778632    0    0     0   248  697 1547  0  0 99  0  0  0
 0  0      0 27476780 7140996 17823624    0    0     0     0 1359 2917  1  1 99  0  0  0
 0  0      0 27520148 7140996 17778632    0    0     0  2412 2873 7994  1  1 97  0  0  0
 0  0      0 27466728 7140996 17823624    0    0     0    12 1029 2265  0  1 99  0  0  0
 0  0      0 27548496 7140996 17778632    0    0     0    16 2592 1772  3  0 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 27538252 7140996 17778584    0    0     0     4 1373 2370  1  1 98  0  0  0
 0  0      0 27497188 7140996 17824088    0    0     0     0 1428 3422  1  1 98  0  0  0
 0  0      0 27557564 7140996 17779264    0    0     0  2500 3004 8029  2  1 97  0  0  0
 0  0      0 27496696 7140996 17823980    0    0     0     4 1112 2548  1  1 99  0  0  0
 0  0      0 27535264 7140996 17778656    0    0     0     8  705  699  0  0 99  0  0  0
 4  0      0 27548752 7140996 17778656    0    0     0    24  623 1171  0  0 99  0  0  0
 0  0      0 27490468 7140996 17817420    0    0     0   332 2337 5905  4  1 95  0  0  0
 0  0      0 27457956 7140996 17858876    0    0     0  2544 5215 10291  3  2 95  0  0  0
 1  0      0 27443420 7140996 17876536    0    0     0     0 1105 2255  0  1 99  0  0  0
