procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 27924860 8289976 15701888    0    0    69  1252 2773    4  1  1 98  0  0  0
 2  0      0 27934176 8289976 15661296    0    0     0     0 5195 6836  3  1 96  0  0  0
 1  0      0 27961904 8289976 15658344    0    0     0   164 8959 10763  2  1 97  0  0  0
 0  0      0 27811368 8289976 15821452    0    0     0     0 8100 12847  5  1 94  0  0  0
 0  0      0 27719784 8289976 15899248    0    0     0     0 4766 13650  5  2 93  0  0  0
 0  0      0 27709456 8289976 15896744    0    0     0  2668 4079 7659  1  2 96  0  0  0
 0  0      0 27711352 8289976 15880476    0    0     0   316 2070 4972  2  1 97  0  0  0
 0  0      0 27716660 8289976 15876528    0    0     0   104 1852 1830  0  0 99  0  0  0
 0  0      0 27877712 8289976 15666960    0    0     0   172 1185 2390  1  0 99  0  0  0
 0  0      0 27941376 8289976 15638356    0    0     0     0 1318 2852  0  1 99  0  0  0
 0  0      0 27961580 8289976 15636404    0    0     0   688 2653 7284  1  2 96  0  0  0
 0  0      0 27961944 8289976 15657836    0    0     0   576 1431 2606  1  1 99  0  0  0
 0  0      0 28018352 8289976 15612268    0    0     0     8 1118 1572  0  0 100  0  0  0
 0  0      0 28030468 8289976 15609196    0    0     0     0  811 1150  0  0 100  0  0  0
 0  0      0 27972784 8289976 15679964    0    0     0   196 4069 8442  3  1 96  0  0  0
 0  0      0 28034080 8289976 15608748    0    0     0   140 2832 7085  2  2 96  0  0  0
 0  0      0 27999620 8289976 15650768    0    0     0   660 1351 2592  0  1 99  0  0  0
 0  0      0 28049624 8289976 15605696    0    0     0   124  660  884  0  0 99  0  0  0
 0  0      0 28062888 8289976 15605800    0    0     0     8 1020 1556  0  0 100  0  0  0
 0  0      0 28068216 8289976 15627664    0    0     0   152 1515 3058  1  1 99  0  0  0
 0  0      0 28091724 8289976 15582608    0    0     0     0 1680 5045  1  1 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 28068288 8289976 15627468    0    0     0   232 1623 3245  1  1 99  0  0  0
 0  0      0 28114144 8289976 15582800    0    0     0     0  632  750  0  0 100  0  0  0
 0  0      0 28115452 8289976 15582800    0    0     0    88  924 1187  0  0 100  0  0  0
 0  0      0 28072236 8289976 15627856    0    0     0     8 1422 3054  0  1 99  0  0  0
 0  0      0 28115332 8289976 15582800    0    0     0     0 1729 4517  1  2 97  0  0  0
 1  0      0 28045504 8289976 15628024    0    0     0    20 1905 2736  1  1 98  0  0  0
 0  0      0 28095824 8289976 15582776    0    0     0   292 1082 1462  0  0 99  0  0  0
 0  0      0 28074108 8289976 15635648    0    0     0 17428 1946 2982  3  0 96  0  0  0
 0  0      0 28093164 8289976 15606920    0    0     0     0 1619 2973  1  1 99  0  0  0
