procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 27579104 7141048 17827856    0    0    63   778 2679    4  1  1 98  0  0  0
 0  0      0 27585464 7141048 17827428    0    0     0     0  954 1031  0  0 100  0  0  0
 0  0      0 27627044 7141048 17785860    0    0     0   432 1331 2865  0  1 99  0  0  0
11  0      0 27606172 7141048 17830620    0    0     0   148 1670 4742  1  2 97  0  0  0
 1  0      0 27606236 7141048 17831268    0    0     0  2252 2953 7673  1  1 97  0  0  0
 0  0      0 27611888 7141048 17831204    0    0     0   512  837  911  0  0 100  0  0  0
 0  0      0 27658372 7141048 17785992    0    0     0   248  647  773  0  0 100  0  0  0
 0  0      0 27685116 7141048 17785992    0    0     0     0 1055 1851  0  0 99  0  0  0
 1  0      0 27631056 7141048 17831016    0    0     0     0 2128 2808  1  1 99  0  0  0
 1  0      0 27641040 7141048 17830184    0    0     0  2304 5385 10851  2  2 96  0  0  0
 0  0      0 27644680 7141048 17830372    0    0     0     0  914  942  0  0 100  0  0  0
 0  0      0 27687468 7141048 17785404    0    0     0     4 1029 1475  1  0 99  0  0  0
 0  0      0 27690680 7141048 17785288    0    0     0   352  997 1801  0  0 99  0  0  0
 0  0      0 27655336 7141048 17830244    0    0     0    16 4210 4620  2  1 97  0  0  0
 0  0      0 27654224 7141048 17830376    0    0     0  2376 5557 12392  2  2 95  0  0  0
 0  0      0 27695456 7141048 17785288    0    0     0     0  861  884  0  0 100  0  0  0
 0  0      0 27700924 7141048 17785288    0    0     0   348  649  931  0  0 100  0  0  0
 0  0      0 27697000 7141048 17785288    0    0     0     8  794 1628  0  0 99  0  0  0
 0  0      0 27663708 7141048 17830888    0    0     0   120  999 2265  0  1 99  0  0  0
 1  0      0 27688016 7141048 17806232    0    0     0  2304 3070 9859  2  2 96  0  0  0
 0  0      0 27661504 7141048 17830248    0    0     0     0  768 1023  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 27705012 7141048 17785160    0    0     0     0  535  599  0  0 100  0  0  0
 0  0      0 27702028 7141048 17785160    0    0     0     0  989 1828  0  1 99  0  0  0
 0  0      0 27669312 7141048 17830252    0    0     0   116 1189 2990  1  1 98  0  0  0
 3  0      0 27672040 7141048 17803580    0    0     0  2228 2973 9314  2  2 96  0  0  0
 0  0      0 27645436 7141048 17830336    0    0     0   292 1072 1905  1  0 99  0  0  0
 0  0      0 27691156 7141048 17785248    0    0     0     0  666  820  0  0 99  0  0  0
 0  0      0 27699364 7141048 17785248    0    0     0     0  935 1767  0  0 99  0  0  0
 0  0      0 27656824 7141048 17830320    0    0     0    12 1339 2964  1  1 98  0  0  0
 4  0      0 27680824 7141048 17791372    0    0     0     8 1894 5476  1  1 97  0  0  0
