container_id,name,pid,mem_current_bytes
4a837b6522d6,ae-echo-mr-rev2-2,2042254,16883712
58aa4ca64969,ae-echo-mr-rev2-1,2042144,16883712
8952f31368dc,ae-echo-mr-rev2-0,2041962,16875520
93c93229d274,ae-echo-rev6687-0,2041551,17436672
e9cae110754f,ae-echo-storage-rev1-0,2041404,16908288
8772ba2aaf3d,ae-echo-del-rev1-0,2041153,544768
f68e4c966172,ae-green-rev3-0,2041069,17399808
146458b5f61a,ae-echo-stateful-rev1-0,2040948,524288
8e76e01567ad,ae-blue-rev3-0,2040550,16879616
989b73aa39e9,music-agent-frontend,0,-1
20f0ac261436,music-agent-persona-api,0,-1
bd1312684d5b,music-agent-migrate,0,-1
055bc363833b,music-agent-postgres,0,-1
d33c2b4d88d9,elastic_keldysh,0,-1
eec2f115e13d,serene_hofstadter,0,-1
4551404b232e,elastic_dijkstra,0,-1
1e08457f2c1d,strange_hellman,0,-1
f567ad2b7e79,practical_ritchie,0,-1
bdc75af89acc,ir-engine_minio_s3,0,-1
85c8209f9750,ir-engine_minikube_db,0,-1
43edbd4b4353,ir-engine_test_db,0,-1
a043d3674518,ir-engine_db,0,-1
a9ace0bc9735,ir-engine_redis,0,-1
