container_id,name,pid,mem_current_bytes
7e4f116e8461,ae-echo-mr-rev2-2,2174521,16875520
88a2a7a8131e,ae-echo-mr-rev2-1,2174277,16891904
b2d6a2188b0a,ae-echo-mr-rev2-0,2174103,16875520
203f8bc1694e,ae-green-rev3-0,2173819,17399808
2ab071df69c1,ae-echo-rev6687-0,2173511,17424384
9e651699c220,ae-echo-storage-rev1-0,2172241,16896000
5d4960955da9,ae-echo-del-rev1-0,2172118,516096
dca6bb1ca9d6,ae-echo-stateful-rev1-0,2171738,507904
be2a48a77caf,ae-blue-rev3-0,2171519,16883712
989b73aa39e9,music-agent-frontend,0,-1
20f0ac261436,music-agent-persona-api,0,-1
bd1312684d5b,music-agent-migrate,0,-1
055bc363833b,music-agent-postgres,0,-1
d33c2b4d88d9,elastic_keldysh,0,-1
eec2f115e13d,serene_hofstadter,0,-1
4551404b232e,elastic_dijkstra,0,-1
1e08457f2c1d,strange_hellman,0,-1
f567ad2b7e79,practical_ritchie,0,-1
bdc75af89acc,ir-engine_minio_s3,0,-1
85c8209f9750,ir-engine_minikube_db,0,-1
43edbd4b4353,ir-engine_test_db,0,-1
a043d3674518,ir-engine_db,0,-1
a9ace0bc9735,ir-engine_redis,0,-1
