procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 27428724 7141140 17915284    0    0    63   781 2680    4  1  1 98  0  0  0
 0  0      0 27235824 7141140 18122176    0    0     0     0 2557 3811  1  1 98  0  0  0
 2  0      0 26974664 7141140 18396192    0    0     0     0 4306 8801  3  2 95  0  0  0
 0  0      0 27194784 7141140 18168648    0    0     0   332 2756 5993  2  1 97  0  0  0
 0  0      0 26924492 7141140 18432804    0    0     0  2432 5358 12883  3  3 94  0  0  0
 0  0      0 27254932 7141140 18102568    0    0     0   632 2580 3368  2  1 97  0  0  0
 2  0      0 27413040 7141140 17928556    0    0     0   260 3273 6125  2  2 96  0  0  0
 0  0      0 27231200 7141140 18122856    0    0     0     0 1805 2662  1  1 98  0  0  0
 3  0      0 26899356 7141140 18430612    0    0     0     0 3066 6039  2  2 96  0  0  0
 2  0      0 27231264 7141140 18101732    0    0     0  2384 3790 10437  2  2 96  0  0  0
 0  0      0 27172628 7141140 18187828    0    0     0     0 2088 3626  1  1 98  0  0  0
 2  0      0 27371952 7141140 17986772    0    0     0   184 2291 4982  1  2 97  0  0  0
 1  0      0 27470020 7141140 17894516    0    0     0     4  849 1427  0  0 100  0  0  0
 0  0      0 27414672 7141140 17955208    0    0     0   108 2225 4861  1  1 98  0  0  0
 0  0      0 27392244 7141140 17992620    0    0     0  2496 3871 10737  2  2 96  0  0  0
 0  0      0 27392900 7141140 17996780    0    0     0     0 2058 3549  1  1 98  0  0  0
 0  0      0 27417036 7141140 17976492    0    0     0   140 2423 4971  1  1 98  0  0  0
 0  0      0 27468800 7141140 17931340    0    0     0     0 1336 2140  0  0 99  0  0  0
 0  0      0 27516368 7141140 17893880    0    0     0   248 1304 2801  0  1 99  0  0  0
 0  0      0 27540292 7141140 17893848    0    0     0  2504 3074 9187  2  1 96  0  0  0
 0  0      0 27582456 7141140 17848720    0    0     0     0  633  656  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 27533768 7141140 17893232    0    0     0     0 1238 2353  0  1 99  0  0  0
 0  0      0 27581260 7141140 17848144    0    0     0   188  573  602  0  0 100  0  0  0
 0  0      0 27547096 7141140 17893428    0    0     0     0 1273 2664  1  1 99  0  0  0
 0  0      0 27606824 7141140 17848332    0    0     0  2700 2801 8176  1  1 97  0  0  0
 0  0      0 27607564 7141140 17848332    0    0     0     0  571  740  0  0 100  0  0  0
 0  0      0 27561380 7141140 17895852    0    0     0     0 1252 2670  0  1 99  0  0  0
 0  0      0 27607692 7141140 17850764    0    0     0     0  570  613  0  0 100  0  0  0
 0  0      0 27563600 7141140 17893164    0    0     0   216 1000 2273  1  1 99  0  0  0
 0  0      0 27612624 7141140 17848076    0    0     0  2504 2714 8092  1  1 97  0  0  0
