00400000-7fff9e9af000 ---p 00000000 00:00 0                              [rollup]
Rss:               16620 kB
Pss:                6913 kB
Pss_Dirty:          5636 kB
Pss_Anon:           5636 kB
Pss_File:           1277 kB
Pss_Shmem:             0 kB
Shared_Clean:      10920 kB
Shared_Dirty:          0 kB
Private_Clean:        64 kB
Private_Dirty:      5636 kB
Referenced:        16620 kB
Anonymous:          5636 kB
KSM:                   0 kB
LazyFree:              0 kB
AnonHugePages:         0 kB
ShmemPmdMapped:        0 kB
FilePmdMapped:         0 kB
Shared_Hugetlb:        0 kB
Private_Hugetlb:       0 kB
Swap:                  0 kB
SwapPss:               0 kB
Locked:                0 kB
