procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 27492324 7141076 17939164    0    0    63   780 2680    4  1  1 98  0  0  0
 0  0      0 27551356 7141076 17856776    0    0     0     0 1392 2904  1  1 99  0  0  0
 1  0      0 27626796 7141076 17790728    0    0     0     4 1673 3585  1  1 98  0  0  0
 0  0      0 27630652 7141076 17790728    0    0     0     0  524  656  0  0 100  0  0  0
 0  0      0 27633804 7141076 17790732    0    0     0  2764 1688 5003  1  0 99  0  0  0
 0  0      0 27636892 7141076 17790732    0    0     0    12 1077 2074  0  0 99  0  0  0
 0  0      0 27628336 7141076 17835444    0    0     0   748 1179 2947  1  1 99  0  0  0
 0  0      0 27629164 7141076 17835448    0    0     0     0 1798 3718  1  1 98  0  0  0
 0  0      0 27667964 7141076 17790392    0    0     0     4  669  903  0  0 99  0  0  0
 7  0      0 27647616 7141076 17790404    0    0     0  2476 2009 6644  1  1 98  0  0  0
 1  0      0 27632648 7141076 17790420    0    0     0     0 1261 3160  1  1 99  0  0  0
 0  0      0 27581260 7141076 17835476    0    0     0   448  913 2346  0  1 99  0  0  0
 0  0      0 27600132 7141076 17835412    0    0     0     4 1786 3905  1  1 98  0  0  0
 0  0      0 27645632 7141076 17790356    0    0     0     0  546  631  0  0 100  0  0  0
 0  0      0 27643216 7141076 17790368    0    0     0  2428 2331 5689  2  0 97  0  0  0
 0  0      0 27633868 7141076 17790368    0    0     0     0 1029 1926  0  0 99  0  0  0
 0  0      0 27606572 7141076 17835424    0    0     0     0  855 2290  0  1 99  0  0  0
 0  0      0 27561148 7141076 17876960    0    0     0    84 2328 6113  1  2 97  0  0  0
 0  0      0 27644560 7141076 17790944    0    0     0     4  618  763  0  0 99  0  0  0
 0  0      0 27659792 7141076 17790948    0    0     0  2840 1774 5029  1  0 98  1  0  0
 0  0      0 27650976 7141076 17790952    0    0     0     8 1202 2131  0  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 27657232 7141076 17790952    0    0     0     0  839 2155  0  1 99  0  0  0
 0  0      0 27602440 7141076 17837480    0    0     0   500 2335 5528  1  2 97  0  0  0
 0  0      0 27651748 7141076 17792424    0    0     0     0  509  631  0  0 100  0  0  0
 0  0      0 27663364 7141076 17792424    0    0     0  2260 1651 4880  1  0 99  0  0  0
 0  0      0 27656668 7141076 17792424    0    0     0     4  989 1925  1  0 99  0  0  0
 2  0      0 27659416 7141076 17792424    0    0     0     4  495  661  0  0 100  0  0  0
 0  0      0 27590192 7141076 17855784    0    0     0   156 2625 7267  1  3 96  0  0  0
 0  0      0 27649184 7141076 17790248    0    0     0     0  592  636  0  0 100  0  0  0
 0  0      0 27662560 7141076 17790252    0    0     0  2372 1825 5097  1  0 98  0  0  0
