procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 30186940 8278100 14432760    0    0    69  1241 2696    4  1  1 98  0  0  0
 0  0      0 30162804 8278100 14459436    0    0     0     0 1348 2651  0  1 99  0  0  0
 1  0      0 30201652 8278100 14366764    0    0     0     4 2150 4086  2  1 97  0  0  0
 0  0      0 30117936 8278100 14369624    0    0     0 12648 15386 40748  6  4 89  1  0  0
 2  0      0 29973944 8278100 14419540    0    0     0 16104 18206 47532  9  5 85  1  0  0
 1  0      0 29826528 8278100 14447364    0    0     0 19248 19691 46920  9  6 83  1  0  0
 0  0      0 29855916 8278100 14383268    0    0     0   276 2401 2988  1  1 98  0  0  0
 1  0      0 29853760 8278100 14383348    0    0     0     0 1937 4183  1  1 98  0  0  0
 0  0      0 29869828 8278100 14382708    0    0     0  2340 2306 5269  1  1 98  0  0  0
 0  0      0 29840676 8278100 14428148    0    0     0     0 1888 3574  1  1 98  0  0  0
 0  0      0 29873596 8278100 14428780    0    0     0  2108 1325 2644  1  1 99  0  0  0
 0  0      0 29908560 8278100 14383212    0    0     0    12 1043 1965  0  0 99  0  0  0
 0  0      0 29922656 8278100 14383212    0    0     0   320 1566 3701  1  1 98  0  0  0
 0  0      0 29930004 8278104 14383224    0    0     0  2276 1893 5136  1  1 98  0  0  0
 0  0      0 29883384 8278104 14428024    0    0     0     0 1211 2653  1  1 99  0  0  0
 0  0      0 29896004 8278104 14427492    0    0     0  1260 1377 2614  1  1 99  0  0  0
 0  0      0 29940152 8278104 14382436    0    0     0   116 1027 1776  0  0 99  0  0  0
 0  0      0 29891484 8278104 14427428    0    0     0     4 1588 3571  1  1 98  0  0  0
 0  0      0 29952120 8278104 14382372    0    0     0  2224 1936 5120  1  0 98  0  0  0
 0  0      0 29942940 8278104 14382352    0    0     0    96 1530 3301  1  1 99  0  0  0
 0  0      0 29903544 8278104 14427420    0    0     0  1296 1282 2470  1  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 29959212 8278104 14382364    0    0     0   156 1063 1978  1  0 99  0  0  0
 0  0      0 29959892 8278104 14382364    0    0     0    16 2293 4266  2  1 97  0  0  0
 0  0      0 29991360 8278104 14375164    0    0     0  2428 2021 5524  1  1 98  0  0  0
 0  0      0 29936668 8278104 14419316    0    0     0   164 1465 3307  0  1 99  0  0  0
 0  0      0 29944296 8278104 14419316    0    0     0     0 1201 2458  0  1 99  0  0  0
 0  0      0 29921536 8278104 14426884    0    0     0     8 2181 4549  5  1 94  0  0  0
 0  0      0 29965860 8278104 14389052    0    0     0   736 7390 9001  3  2 95  0  0  0
 0  0      0 29632528 8278104 14630604    0    0     0  2704 9061 20252  8  3 89  0  0  0
 0  0      0 29533140 8278104 14684864    0    0     0   360 5115 8876  5  2 93  0  0  0
