procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 30064568 8280072 14487796    0    0    69  1247 2700    4  1  1 98  0  0  0
 7  0      0 29945388 8280072 14520456    0    0     0 13236 15110 41645  7  5 87  1  0  0
 2  1      0 29937932 8280072 14453200    0    0     0 16188 17905 46551 10  5 84  1  0  0
 1  0      0 29880472 8280072 14460288    0    0     0 20180 18392 49199 10  5 84  1  0  0
 0  0      0 29837544 8280072 14462616    0    0     0   252 2471 3685  1  1 98  0  0  0
 0  0      0 29885300 8280072 14417516    0    0     0     0 1184 1567  0  0 99  0  0  0
 0  0      0 29817304 8280072 14462368    0    0     0  2440 3634 10761  2  2 96  0  0  0
 0  0      0 29867544 8280072 14462880    0    0     0     0 1094 1387  0  0 99  0  0  0
 0  0      0 29937744 8280072 14417848    0    0     0  2148 1239 2179  0  1 99  0  0  0
 0  0      0 29860156 8280072 14462156    0    0     0    24 2101 3355  2  1 97  0  0  0
 0  0      0 29898668 8280072 14417100    0    0     0     0  705  872  0  0 100  0  0  0
 0  0      0 29864456 8280072 14461900    0    0     0  2444 4042 11229  2  2 95  0  0  0
 0  0      0 29906780 8280072 14416844    0    0     0     0  504  597  0  0 100  0  0  0
 0  0      0 29905836 8280072 14416200    0    0     0     0 1341 2236  0  1 99  0  0  0
 0  0      0 29896864 8280072 14461384    0    0     0 18928 1257 2605  1  1 99  0  0  0
 0  0      0 29942208 8280072 14416328    0    0     0     4  710  835  0  0 99  0  0  0
 0  0      0 29885988 8280072 14461324    0    0     0  2424 3543 9952  2  2 96  0  0  0
 0  0      0 29926828 8280072 14416268    0    0     0     8  789 1135  0  0 100  0  0  0
 0  0      0 29942936 8280072 14416268    0    0     0     0 1046 2100  0  0 99  0  0  0
 0  0      0 29887396 8280072 14461260    0    0     0  1432 1285 2424  1  1 99  0  0  0
 0  0      0 29935592 8280072 14416332    0    0     0     8  609  799  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 29908412 8280072 14461356    0    0     0  2280 3554 10146  2  2 96  0  0  0
 0  0      0 29950492 8280072 14416300    0    0     0     0  483  633  0  0 100  0  0  0
 0  0      0 29945528 8280072 14416300    0    0     0     0 1250 2116  0  1 99  0  0  0
 0  0      0 29901652 8280072 14461168    0    0     0   196 1012 2365  0  1 99  0  0  0
 0  0      0 29941980 8280072 14416300    0    0     0     0  648  760  0  0 99  0  0  0
 0  0      0 29872964 8280072 14461872    0    0     0  2412 3461 10865  2  2 96  0  0  0
 0  0      0 29924216 8280072 14416816    0    0     0     4  738  912  0  0 100  0  0  0
 0  0      0 29928668 8280072 14416816    0    0     0   136 1011 2056  0  0 99  0  0  0
 0  0      0 29877452 8280072 14461364    0    0     0     0 1176 2541  0  1 99  0  0  0
