container_id,name,pid,mem_current_bytes
3e284fd79fd8,ae-echo-mr-rev2-2,2284441,16883712
7647c11d744f,ae-echo-mr-rev2-1,2284325,16887808
d4ab0e568f63,ae-echo-mr-rev2-0,2284215,16883712
d5434ea6d8c0,ae-green-rev3-0,2284093,17395712
a6fc22eaa2f7,ae-echo-rev6687-0,2283853,17424384
3b7cc6321d47,ae-echo-storage-rev1-0,2283741,16896000
a9a41e218d04,ae-echo-del-rev1-0,2283629,507904
883f6cc3175d,ae-echo-stateful-rev1-0,2283520,503808
eaf073bd59c5,ae-blue-rev3-0,2283398,16879616
989b73aa39e9,music-agent-frontend,0,-1
20f0ac261436,music-agent-persona-api,0,-1
bd1312684d5b,music-agent-migrate,0,-1
055bc363833b,music-agent-postgres,0,-1
d33c2b4d88d9,elastic_keldysh,0,-1
eec2f115e13d,serene_hofstadter,0,-1
4551404b232e,elastic_dijkstra,0,-1
1e08457f2c1d,strange_hellman,0,-1
f567ad2b7e79,practical_ritchie,0,-1
bdc75af89acc,ir-engine_minio_s3,0,-1
85c8209f9750,ir-engine_minikube_db,0,-1
43edbd4b4353,ir-engine_test_db,0,-1
a043d3674518,ir-engine_db,0,-1
a9ace0bc9735,ir-engine_redis,0,-1
