procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 27435880 7141096 17932412    0    0    63   779 2679    4  1  1 98  0  0  0
 0  0      0 27439200 7141096 17932200    0    0     0     0  716  751  0  0 100  0  0  0
 0  0      0 27560548 7141096 17828384    0    0     0     0 1178 2827  1  1 99  0  0  0
 0  0      0 27551068 7141096 17828584    0    0     0     0 1250 2179  0  1 99  0  0  0
 0  0      0 27565756 7141096 17828584    0    0     0     0 1611 3849  1  2 98  0  0  0
 0  0      0 27622572 7141096 17783536    0    0     0  2820 2374 6379  1  1 98  0  0  0
 0  0      0 27625860 7141096 17783536    0    0     0   240  436  592  0  0 100  0  0  0
 0  0      0 27651948 7141096 17783536    0    0     0     4 1177 2682  1  1 99  0  0  0
 0  0      0 27606320 7141096 17828528    0    0     0     0 1379 2629  1  1 99  0  0  0
 1  0      0 27646416 7141096 17783472    0    0     0   252 1754 3894  1  2 98  0  0  0
 0  0      0 27575740 7141096 17843276    0    0     0  2428 4284 10405  4  1 94  0  0  0
 0  0      0 27615796 7141096 17803356    0    0     0   344 4534 4946  1  1 98  0  0  0
 0  0      0 27562436 7141096 17843072    0    0     0   296 7783 8031  3  1 96  0  0  0
 0  0      0 27583468 7141096 17839908    0    0     0     0 7161 4641  1  1 99  0  0  0
 0  0      0 27580432 7141096 17836116    0    0     0     8 7517 6266  1  1 98  0  0  0
 2  0      0 27580176 7141096 17835972    0    0     0  1084 8085 8562  1  1 98  0  0  0
 2  0      0 27616316 7141096 17817128    0    0     0  2104 8492 9888  2  1 97  0  0  0
 0  0      0 27625544 7141096 17808860    0    0     0     0 8010 8825  2  1 97  0  0  0
 0  0      0 27615020 7141096 17809184    0    0     0    12 6655 4320  1  1 98  0  0  0
 0  0      0 27659188 7141096 17782144    0    0     0     0 7129 5642  1  2 98  0  0  0
 0  0      0 27650204 7141096 17783764    0    0     0   480 7500 6718  2  1 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 27642252 7141096 17786600    0    0     0  2516 8730 10877  3  1 96  0  0  0
 0  0      0 27646932 7141096 17787000    0    0     0     0 7079 5559  1  1 98  0  0  0
 0  0      0 27649872 7141096 17786832    0    0     0     0 8515 10041  2  1 97  0  0  0
 2  0      0 27635436 7141096 17787984    0    0     0     8 8919 11983  2  2 96  0  0  0
 1  0      0 27640456 7141096 17787824    0    0     0     0 6762 4471  1  1 98  0  0  0
 0  0      0 27628632 7141096 17787776    0    0     0  2708 8737 9982  3  1 96  0  0  0
 1  0      0 27620192 7141096 17797716    0    0     0     0 8552 11509  2  2 96  0  0  0
 0  0      0 27561488 7141096 17828032    0    0     0     0 9374 12971  2  2 96  0  0  0
 0  0      0 27574716 7141096 17828212    0    0     0     0 9070 11442  2  2 96  0  0  0
