    PID    PPID COMMAND           RSS
  21523   21522 nvim            1719812
  21525   21523 node            1081244
  23877   23871 nvim            783560
   2625    2410 gnome-shell     772604
  94475    2410 chrome          666704
  22785   22783 node            579156
 984378   94501 chrome          524736
  91450   91342 slack           478560
 626495   94501 chrome          472800
   2095       1 dockerd         419376
1020973 1020429 joplin          418156
  97568   94501 chrome          403236
4062516    2410 nautilus        387356
  96110   94501 chrome          376260
  95713   94501 chrome          368956
  94574   94498 chrome          363628
  98067   94501 chrome          356132
  94641   94501 chrome          315912
  95491   94501 chrome          309428
1020429    2625 joplin          293260
  91333    2625 slack           224228
    735       1 systemd-journal 222212
1021183 1020429 joplin          206200
   3200    2625 mutter-x11-fram 195548
1021184 1020429 joplin          193908
  91401   91339 slack           191040
  95100   94501 chrome          187936
1995880   94501 chrome          171056
  94580   94475 chrome          169580
  23925   23877 node            169032
 833195   94501 chrome          160344
  94787   94501 chrome          158236
 587951    2410 evince          151468
  94994   94501 chrome          147228
   2723    2625 Xwayland        139992
 370003       1 tailscaled      121980
1020933 1020429 joplin          119740
1020895 1020735 joplin          116080
  22783   22782 nvim            104160
1021253 1020736 joplin          103820
1020735 1020429 joplin          102600
1020736 1020429 joplin          102236
1879287    2625 guake           99652
   2532    2410 gnome-remote-de 98232
  95214   94475 chrome          85060
   2793    2552 evolution-alarm 83464
   3158    2410 gsd-xsettings   83044
  91406   91333 slack           80972
2106842 2106834 python          80440
   2699    2410 evolution-sourc 78672
2135763   94501 chrome          75256
  24258   24247 codex           68840
   1367       1 containerd      67908
  91709   91333 slack           65316
  94593   94501 chrome          65112
  94499   94475 chrome          65024
  94498   94475 chrome          65000
   3024    2410 evolution-calen 52660
   3138    2410 localsearch-3   52652
  91340   91333 slack           51916
  91339   91333 slack           51692
 138999       1 fwupd           48004
   3270    2410 xdg-desktop-por 47236
1817802   26850 node            46324
 981169   15630 node            46196
  24247   14096 node            46188
   1204       1 snapd           44968
   2990    2410 goa-daemon      43344
1817813 1817802 codex           39964
  25026    2410 tmux: server    39276
 112221    2410 python3         36644
   2865    2728 ibus-extension- 34852
 981180  981169 codex           34352
   3079    2410 evolution-addre 30168
   4818    2410 tmux: server    29820
   2704    2410 gjs             29308
   3348    2410 xdg-desktop-por 29120
   2446    2410 pipewire-pulse  29060
   2920    2410 gjs             28628
   2744    2410 gsd-media-keys  28156
   2747    2410 gsd-power       28140
1020821    2410 snap            28060
  20328   20215 nvim            26804
   2782    2410 gsd-wacom       24888
   2730    2410 gsd-color       24276
   2739    2410 gsd-keyboard    23808
2107325 2107303 python          23584
2108061 2108014 python          23296
2107133 2107101 python          23264
   2687    2410 gnome-shell-cal 23160
2103763 2103742 python          23132
2104125 2104102 python          22972
2107804 2107782 python          22948
2107627 2107592 python          22860
   2440    2410 pipewire        22744
   1229       1 NetworkManager  21156
   2445    2410 wireplumber     20752
   3247    2410 xdg-desktop-por 20320
  94501   94499 chrome          19736
2107576 2104313 python          18664
2107101       1 containerd-shim 18036
2104102       1 containerd-shim 17984
   2875       1 udisksd         17612
      1       0 systemd         16272
2108014       1 containerd-shim 16156
2107782       1 containerd-shim 16112
2107592       1 containerd-shim 16092
   2410       1 systemd         16016
2103862       1 containerd-shim 16008
2107303       1 containerd-shim 15760
2103990       1 containerd-shim 15720
2103742       1 containerd-shim 15652
   2552    2410 gnome-session-b 15496
   2485    2481 gnome-session-b 14468
   2888    2410 gsd-printer     14432
   1631       1 colord          14220
  91342   91340 slack           13036
   2764    2410 gsd-smartcard   12788
   3218    2410 ibus-x11        12348
   1272       1 ModemManager    12316
   2324    1391 gdm-session-wor 12216
   2756    2410 gsd-sharing     11728
   1315       1 wpa_supplicant  11588
    774       1 systemd-udevd   11244
   2993    2410 gvfs-udisks2-vo 11128
   1684       1 upowerd         10848
   2749    2410 gsd-print-notif 10780
   1201       1 polkitd         10676
   2728    2410 ibus-daemon     10520
   3175    2544 gvfsd-recent    10272
  60586   23877 tmux: client    10220
  26401   21523 tmux: client    10204
2086775 1879308 tmux: client    10096
2511318   22783 tmux: client    10096
  26604   25026 zsh              9976
   2443    2410 gnome-keyring-d  9788
   2731    2410 gsd-datetime     9548
   1206       1 systemd-logind   9464
  50421   48164 ssh              9412
  49179   47277 ssh              9304
   4756    2410 ssh              9164
  49857   47863 ssh              9136
   2736    2410 gsd-housekeepin  9072
   2773    2410 gsd-sound        8700
   3001    2410 goa-identity-se  8688
   3176    2544 gvfsd-trash      8672
  27855   25026 zsh              8612
 112199    2544 gvfsd-network    8412
  21522   12951 nvim             8408
 112209    2544 gvfsd-dnssd      8284
  23871   14494 nvim             8204
  53678   25026 zsh              8176
  22782    6462 nvim             8156
   1379       1 sshd             8096
   1196       1 dbus-daemon      8076
   3047    2410 gvfs-afc-volume  8036
  54145   25026 zsh              8036
