00400000-7fff6305c000 ---p 00000000 00:00 0                              [rollup]
Rss:               16560 kB
Pss:                6853 kB
Pss_Dirty:          5640 kB
Pss_Anon:           5640 kB
Pss_File:           1213 kB
Pss_Shmem:             0 kB
Shared_Clean:      10920 kB
Shared_Dirty:          0 kB
Private_Clean:         0 kB
Private_Dirty:      5640 kB
Referenced:        16560 kB
Anonymous:          5640 kB
KSM:                   0 kB
LazyFree:              0 kB
AnonHugePages:         0 kB
ShmemPmdMapped:        0 kB
FilePmdMapped:         0 kB
Shared_Hugetlb:        0 kB
Private_Hugetlb:       0 kB
Swap:                  0 kB
SwapPss:               0 kB
Locked:                0 kB
