procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 27552832 7141064 17873556    0    0    63   780 2679    4  1  1 98  0  0  0
 0  0      0 27551660 7141064 17873340    0    0     0     0  964 1083  0  0 100  0  0  0
 0  0      0 27638708 7141064 17787196    0    0     0     0  756  912  0  0 99  0  0  0
 0  0      0 27602592 7141064 17831964    0    0     0  2496 2731 7338  1  1 98  0  0  0
 0  0      0 27640556 7141064 17787544    0    0     0   108 1322 2214  1  0 99  0  0  0
 0  0      0 27605084 7141064 17833104    0    0     0     0 2191 5647  1  2 97  0  0  0
 0  0      0 27663744 7141064 17788016    0    0     0   328  552  639  0  0 100  0  0  0
 0  0      0 27661920 7141064 17788016    0    0     0     0  626  746  0  0 100  0  0  0
 0  0      0 27635596 7141064 17832604    0    0     0  2388 2046 6404  1  1 98  0  0  0
 0  0      0 27634124 7141064 17831896    0    0     0     4 1510 3032  0  1 99  0  0  0
 0  0      0 27631116 7141064 17832024    0    0     0     0 2240 5964  1  2 97  0  0  0
 1  0      0 27653576 7141064 17812404    0    0     0   592 1725 3831  1  0 99  0  0  0
 0  0      0 27649976 7141064 17812824    0    0     0   324 2578 4910  2  1 97  0  0  0
 0  0      0 27660268 7141064 17809852    0    0     0  2344 2234 6497  1  1 98  0  0  0
 0  0      0 27596820 7141064 17854812    0    0     0     0 1048 2399  0  1 99  0  0  0
 0  0      0 27614616 7141064 17854748    0    0     0     0 2127 5605  1  2 97  0  0  0
 1  0      0 27648632 7141064 17809660    0    0     0   404  706  904  1  0 99  0  0  0
 0  0      0 27661780 7141064 17806228    0    0     0   104 1659 3298  4  1 95  0  0  0
 1  0      0 27703728 7141064 17766052    0    0     0  2388 5499 9504  2  1 97  0  0  0
 0  0      0 27614676 7141064 17824380    0    0     0     0 8291 8616  5  1 94  0  0  0
 2  0      0 27571900 7141064 17882684    0    0     0   460 5645 11363  3  3 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 27580024 7141064 17866036    0    0     0    32 6569 12315  4  1 95  0  0  0
 0  0      0 27587376 7141064 17871528    0    0     0   612 8405 11835  3  1 96  0  0  0
 0  0      0 27535676 7141064 17860716    0    0     0  2896 8897 15202  9  2 90  0  0  0
 0  0      0 27495536 7141064 17856184    0    0     0   192 6942 7961  3  1 96  0  0  0
 0  0      0 27495728 7141064 17836240    0    0     0     4 2333 6277  1  2 97  0  0  0
 0  0      0 27504932 7141064 17830700    0    0     0     0 1836 3122  2  1 98  0  0  0
 0  0      0 27504800 7141064 17830504    0    0     0   548 1918 4113  1  1 98  0  0  0
 0  0      0 27556672 7141064 17826644    0    0     0  3400 3255 8881  2  1 97  0  0  0
 0  0      0 27587160 7141064 17792592    0    0     0    52 2115 5624  2  1 98  0  0  0
