procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 27558808 7141152 17914356    0    0    63   781 2680    4  1  1 98  0  0  0
 0  0      0 27497140 7141152 17935492    0    0     0     0 1401 2963  0  1 99  0  0  0
 0  0      0 27558248 7141152 17849196    0    0     0     0  902 2816  1  0 99  0  0  0
 0  0      0 27505504 7141152 17893892    0    0     0     0 1209 2418  0  1 99  0  0  0
 1  0      0 27527876 7141152 17893892    0    0     0  1468 2106 6005  1  1 97  0  0  0
 0  0      0 27568992 7141152 17848744    0    0     0  1216 1220 2680  1  0 99  0  0  0
 0  0      0 27531272 7141152 17893704    0    0     0   452 1328 2524  1  1 98  0  0  0
 0  0      0 27580016 7141152 17848352    0    0     0     0  700  962  0  0 99  0  0  0
 0  0      0 27519624 7141152 17893648    0    0     0     0 1093 2306  0  1 99  0  0  0
 0  0      0 27591048 7141152 17848592    0    0     0   328 1699 3725  1  1 98  0  0  0
 0  0      0 27602480 7141152 17848568    0    0     0  2324 1776 4912  1  0 99  0  0  0
 0  0      0 27550448 7141152 17894104    0    0     0     0 1280 2554  0  1 98  0  0  0
 0  0      0 27603244 7141152 17849016    0    0     0   124  440  512  0  0 100  0  0  0
 0  0      0 27552636 7141152 17893720    0    0     0     0 1269 2758  1  1 99  0  0  0
 0  0      0 27579532 7141152 17848568    0    0     0     0 1505 3493  1  1 98  0  0  0
 0  0      0 27586064 7141152 17848584    0    0     0  2428 1763 4913  1  0 99  0  0  0
 0  0      0 27535004 7141152 17893544    0    0     0     0 1324 3031  1  1 98  0  0  0
 0  0      0 27588232 7141152 17848456    0    0     0     0  657  738  0  0 100  0  0  0
 0  0      0 27548572 7141152 17893544    0    0     0   264 1054 2352  0  1 99  0  0  0
 0  0      0 27544092 7141152 17893736    0    0     0     4 1548 3710  1  1 98  0  0  0
 0  0      0 27583880 7141152 17848648    0    0     0  2444 1724 4932  1  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 27591268 7141152 17848648    0    0     0     0 1305 2492  1  1 99  0  0  0
 0  0      0 27595408 7141152 17848648    0    0     0     0  618  832  0  0 100  0  0  0
 0  0      0 27551124 7141152 17893524    0    0     0   112 1183 2611  1  1 99  0  0  0
 0  0      0 27597508 7141152 17848436    0    0     0   104 1444 3657  0  1 98  0  0  0
 0  0      0 27612140 7141152 17848440    0    0     0  2508 1916 5230  1  0 98  0  0  0
 0  0      0 27556900 7141152 17893528    0    0     0     0 1087 2533  1  1 99  0  0  0
 0  0      0 27604284 7141152 17848440    0    0     0     0  597  851  0  0 100  0  0  0
 0  0      0 27549348 7141152 17893600    0    0     0     0 1431 2803  1  1 99  0  0  0
 0  0      0 27586340 7141152 17848580    0    0     0    20 2106 4313  2  1 97  0  0  0
